_id,AIR_CONDITIONING_TYPE,AMENITIES_AVAILABLE,ANNUAL_FIRE_ALARM_TEST_RECORDS,ANNUAL_FIRE_PUMP_FLOW_TEST_RECORDS,APPROVED_FIRE_SAFETY_PLAN,BALCONIES,BARRIER_FREE_ACCESSIBILTY_ENTR,BIKE_PARKING,CONFIRMED_STOREYS,CONFIRMED_UNITS,DATE_OF_LAST_INSPECTION_BY_TSSA,DESCRIPTION_OF_CHILD_PLAY_AREA,DESCRIPTION_OF_INDOOR_EXERCISE_ROOM,DESCRIPTION_OF_OUTDOOR_REC_FACILITIES,ELEVATOR_PARTS_REPLACED,ELEVATOR_STATUS,EMERG_POWER_SUPPLY_TEST_RECORDS,EXTERIOR_FIRE_ESCAPE,FACILITIES_AVAILABLE,FIRE_ALARM,GARBAGE_CHUTES,GREEN_BIN_LOCATION,HEATING_EQUIPMENT_STATUS,HEATING_EQUIPMENT_YEAR_INSTALLED,HEATING_TYPE,INDOOR_GARBAGE_STORAGE_AREA,INTERCOM,IS_THERE_A_COOLING_ROOM,IS_THERE_EMERGENCY_POWER,LAUNDRY_ROOM,LAUNDRY_ROOM_HOURS_OF_OPERATION,LAUNDRY_ROOM_LOCATION,LOCKER_OR_STORAGE_ROOM,NO_BARRIER_FREE_ACCESSBLE_UNITS,NO_OF_ACCESSIBLE_PARKING_SPACES,NO_OF_ELEVATORS,NO_OF_LAUNDRY_ROOM_MACHINES,NON_SMOKING_BUILDING,OUTDOOR_GARBAGE_STORAGE_AREA,PARKING_TYPE,PCODE,PET_RESTRICTIONS,PETS_ALLOWED,PROP_MANAGEMENT_COMPANY_NAME,PROPERTY_TYPE,RECYCLING_BINS_LOCATION,RSN,SEPARATE_GAS_METERS_EACH_UNIT,SEPARATE_HYDRO_METER_EACH_UNIT,SEPARATE_WATER_METERS_EA_UNIT,SITE_ADDRESS,SPRINKLER_SYSTEM,SPRINKLER_SYSTEM_TEST_RECORD,SPRINKLER_SYSTEM_YEAR_INSTALLED,TSSA_TEST_RECORDS,VISITOR_PARKING,WARD,WINDOW_TYPE,YEAR_BUILT,YEAR_OF_REPLACEMENT,YEAR_REGISTERED,NO_OF_STOREYS,IS_THERE_EMERGENCY_POWER?,NON-SMOKING_BUILDING,NO_OF_UNITS,NO_OF_ACCESSIBLEPARKING_SPACES,FACILITIES_AVAILABLE?,IS_THERE_A_COOLING_ROOM?,NO_BARRIERFREE_ACCESSBLE_UNITS
62282,NONE,,YES,NO,YES,YES,NO,Not Available,4.0,26.0,,,,,,,,NO,Green Bin / Organics,YES,NO,DRIVEWAY,REPLACED,1998.0,HOT WATER,NO,YES,NO,NO,YES,YES,BASEMENT,YES,0.0,28.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M6L,,NO,,PRIVATE,DRIVEWAY,4154310.0,NO,YES,NO,2567  KEELE ST ,YES,YES,1958.0,,UNAVAILABLE,5,DOUBLE PANE,1958.0,,2017.0,,,,,,,,
62283,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,12.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2010.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,,YES,0.0,18.0,0.0,6.0,NO,YES,"Underground Garage , Surface Parking",M6L,,YES,,PRIVATE,OUTDOOR,4154313.0,NO,YES,NO,2605  KEELE ST ,NO,,,,FREE,5,DOUBLE PANE,1950.0,,2017.0,,,,,,,,
62284,NONE,,YES,NO,YES,YES,NO,Not Available,3.0,11.0,,,,,,,YES,NO,Green Bin / Organics,YES,NO,SOUTH WEST,REPLACED,2011.0,FORCED AIR GAS,NO,YES,NO,YES,YES,7AM TO 11PM,BASEMENT,YES,0.0,9.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M6L,,YES,CORREL HOLDINGS INC.,PRIVATE,SOUTH WEST,4154314.0,NO,NO,NO,2623  KEELE ST ,NO,,,,UNAVAILABLE,5,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
62285,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 0 outdoor parking spots,15.0,102.0,"MAR 22, 2017",,,,,ORIGINAL,NO,YES,Green Bin / Organics,YES,YES,OUTDOORS,REPLACED,1974.0,HOT WATER,YES,YES,NO,YES,YES,7AM - 11PM,MAIN FLOOR,YES,10.0,0.0,2.0,6.0,YES,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking",M9N,,YES,MEDALLION CORPORATION,PRIVATE,OUTDOORS,4154330.0,NO,YES,NO,1747-1755  JANE ST ,YES,YES,1974.0,YES,BOTH,5,DOUBLE PANE,1971.0,,2017.0,,,,,,,,
62286,NONE,,YES,YES,YES,YES,YES,Not Available,12.0,95.0,"DEC 1, 2017",,,,,ORIGINAL,,NO,Recycling bins,YES,YES,,REPLACED,2016.0,HOT WATER,NO,YES,NO,NO,YES,24,MAIN FLOOR,YES,0.0,0.0,2.0,10.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M6L,,NO,GOLDEN EQUITY PROPERTIES,PRIVATE,BACK ,4154338.0,NO,YES,NO,2500  KEELE ST ,YES,YES,1963.0,YES,FREE,5,DOUBLE PANE,1977.0,,2018.0,,,,,,,,
62287,NONE,Outdoor pool,YES,NO,YES,YES,NO,Not Available,4.0,77.0,"SEP 15, 2016",,,,COMPLETE MODERNISATION ,REPLACED,,NO,Green Bin / Organics,YES,YES,BACK OF THE BUILDING,REPLACED,2015.0,HOT WATER,NO,YES,NO,NO,YES,24 HRS,BASEMENT ,YES,0.0,0.0,1.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M2K,,YES,CAPREIT,PRIVATE,BACK OF THE BUILDING,4154836.0,NO,YES,NO,11  DERVOCK CRES ,YES,YES,1959.0,YES,FREE,17,DOUBLE PANE,1959.0,2012.0,2017.0,,,,,,,,
62288,NONE,"Outdoor pool , Indoor recreation room , Indoor exercise room , Sauna",YES,YES,YES,YES,YES,Not Available,19.0,128.0,"JUL 2, 2017",,,,FULL MODERIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE,REPLACED,2005.0,HOT WATER,NO,YES,YES,YES,YES,24HRS,BASEMENT OF EACH BUILDING,YES,0.0,3.0,2.0,42.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M2K,,YES,VERTICA RESIDENT SERVICES,PRIVATE,OUTSIDE,4154839.0,NO,YES,NO,640  SHEPPARD AVE E,YES,YES,1970.0,YES,FREE,17,DOUBLE PANE,1970.0,2012.0,2017.0,,,,,,,,
62289,NONE,,YES,YES,YES,YES,NO,0 indoor parking spots and 20 outdoor parking spots,16.0,178.0,"AUG 1, 2015",,,,COMPLETE MOD,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE OF BUILDING,REPLACED,2007.0,FORCED AIR GAS,YES,YES,NO,YES,YES,24 HOURS,BASEMENT,YES,0.0,2.0,3.0,16.0,NO,YES,"Underground Garage , Ground Level Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M9R,NONE,YES,DIXON HOLDINGS,PRIVATE,OUTSIDE OF BUILDING,4155366.0,NO,YES,NO,311  DIXON RD ,YES,YES,1968.0,NO,PAID,2,SINGLE PANE,1968.0,2007.0,2017.0,,,,,,,,
62290,NONE,"Outdoor pool , Child play area",YES,YES,YES,YES,NO,Not Available,15.0,171.0,"JUN 29, 2016","SWINGS, SLIDE, JUNGLE GYM",,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,OUTSIDE OF BACK ENTRANCE,ORIGINAL,1964.0,HOT WATER,NO,YES,YES,YES,YES,24 HOURS,BASEMENT OF BUILDING,NO,0.0,2.0,2.0,18.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M9R,,YES,,PRIVATE,OUTSIDE OF BACK ENTRANCE,4155369.0,NO,YES,NO,263  DIXON RD ,YES,YES,1964.0,YES,BOTH,2,DOUBLE PANE,1964.0,2016.0,2017.0,,,,,,,,
62291,NONE,,YES,YES,YES,YES,YES,Not Available,5.0,48.0,"MAR 12, 2013",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,BY GARBAGE BIN,REPLACED,2008.0,HOT WATER,NO,YES,NO,NO,YES,24 HOUR,1ST FLOOR,YES,1.0,2.0,1.0,6.0,NO,NO,"Ground Level Garage , Carport , Surface Parking",M9C,NOISE OR COMPLAINTS,YES,,PRIVATE,BY GARBAGE BIN,4155381.0,NO,NO,NO,306  THE WEST MALL  ,YES,YES,1969.0,NO,FREE,2,DOUBLE PANE,1969.0,,2017.0,,,,,,,,
62292,NONE,Outdoor pool,YES,YES,YES,YES,NO,Not Available,5.0,45.0,"FEB 21, 2016",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,NO,REAR OF BUILDING,ORIGINAL,1961.0,HOT WATER,NO,YES,NO,NO,YES,8AM-10PM,"2ND, 3RD, 4TH, AND 5TH FLOORS",YES,0.0,0.0,1.0,8.0,NO,YES,"Ground Level Garage , Surface Parking",M9C,,YES,IMPERRA GENERAL MANAGMENT,PRIVATE,REAR OF BUILDING,4155383.0,NO,YES,NO,329  THE WEST MALL  ,YES,YES,1961.0,YES,FREE,2,DOUBLE PANE,1970.0,,2017.0,,,,,,,,
62293,NONE,,YES,YES,YES,YES,YES,Not Available,5.0,49.0,"OCT 17, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,NO,OUTDOOR GARBAGE ENCLOSURE,REPLACED,2002.0,HOT WATER,NO,YES,NO,YES,YES,6AM-12AM,THIRD FLOOR,YES,0.0,62.0,1.0,6.0,YES,YES,"Carport , Surface Parking",M9C,,YES,PENWOTH HOLDINGS INC,PRIVATE,OUTDOOR GARBAGE ENCLOSURE,4155385.0,NO,YES,NO,351  THE WEST MALL  ,YES,YES,1990.0,YES,FREE,2,DOUBLE PANE,1960.0,2006.0,2017.0,,,,,,,,
62294,INDIVIDUAL UNITS,,YES,NO,YES,YES,NO,Not Available,3.0,10.0,,,,,,,,YES,Green Bin / Organics,YES,NO,BACK OF BUILDING,REPLACED,2000.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS ,LOWER LEVEL ,YES,0.0,13.0,0.0,2.0,YES,YES,"Ground Level Garage , Surface Parking",M9C,,YES,MYROSLAWA LIDIA NAHIRNYJ,PRIVATE,BACK OF BUILDING ,4155391.0,NO,YES,NO,336  THE WEST MALL  ,YES,NO,1965.0,,FREE,2,DOUBLE PANE,1965.0,,2017.0,,,,,,,,
62295,NONE,,YES,YES,YES,YES,NO,Not Available,5.0,26.0,,,,,,,,NO,Green Bin / Organics,YES,NO,OUTDOOR,REPLACED,2011.0,HOT WATER,NO,YES,NO,NO,YES,8-12,BASEMENT,YES,0.0,5.0,0.0,4.0,NO,YES,"Ground Level Garage , Carport , Surface Parking",M8Y,,YES,MODEL BUILDING MAINTENANCE INC,PRIVATE,OUTDOOR,4156115.0,NO,YES,NO,11  CROWN HILL PL ,NO,,,,UNAVAILABLE,3,DOUBLE PANE,1953.0,,2017.0,,,,,,,,
62296,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,28.0,"MAY 1, 2014",,,,,ORIGINAL,,NO,Green Bin / Organics,YES,YES,,REPLACED,2010.0,FORCED AIR GAS,YES,YES,YES,NO,YES,9:00 AM TO 9:00 PM,,NO,0.0,2.0,0.0,14.0,NO,YES,"Ground Level Garage , Surface Parking",M1B,NO EXOTIC PETS,YES,,SOCIAL HOUSING,OUTDOOR EITHER END OF COMPLEX,4156137.0,NO,NO,NO,19  DURNFORD RD ,YES,YES,1992.0,YES,FREE,25,DOUBLE PANE,1992.0,,2018.0,,,,,,,,
62297,NONE,,YES,YES,YES,YES,YES,Not Available,15.0,144.0,"OCT 23, 2016",,,,FULL REPLACEMENT - GAL GALAXY ,REPLACED,YES,NO,Green Bin / Organics,YES,YES,COMPACTOR ROOM,ORIGINAL,1987.0,HOT WATER,YES,YES,NO,YES,YES,7:00 AM- 10:00 PM ,MAIN FLOOR,YES,3.0,5.0,2.0,16.0,YES,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M5G,,YES,TCH,TCHC,BACK OF BUILDING,4156154.0,NO,NO,NO,111  CHESTNUT ST ,YES,YES,1987.0,YES,PAID,10,DOUBLE PANE,1987.0,2015.0,2017.0,,,,,,,,
62298,NONE,,YES,YES,YES,YES,YES,Not Available,14.0,192.0,"MAR 15, 2017",,,,,REPLACED,,YES,Recycling bins,YES,YES,,REPLACED,2005.0,HOT WATER,NO,YES,NO,NO,YES,24 HOURS,GROUND FLOOR,NO,190.0,15.0,3.0,18.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1K,,YES,CANDO APARTMENTS LTD.,PRIVATE,WEST SIDE,4152750.0,NO,YES,NO,30  GILDER DR ,YES,YES,1954.0,YES,PAID,21,DOUBLE PANE,1954.0,2008.0,2017.0,,,,,,,,
62299,NONE,"Indoor recreation room , Outdoor rec facilities",YES,YES,YES,YES,YES,0 indoor parking spots and 10 outdoor parking spots,7.0,95.0,"JUN 18, 2015",,,OUTDOOR GAZIBO,FULL REPLACEMENT,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,2007.0,HOT WATER,NO,YES,YES,YES,YES,24 HOURS,MAIN FLOOR,YES,1.0,1.0,2.0,10.0,NO,YES,Surface Parking,M1J,,YES,H & R PROPERTY MANAGEMENT LTD.,PRIVATE,IN ENCLOSURE,4152756.0,NO,YES,NO,1284  DANFORTH RD ,YES,YES,1960.0,YES,FREE,21,DOUBLE PANE,1960.0,2007.0,2017.0,,,,,,,,
62300,NONE,"Outdoor pool , Child play area",YES,YES,YES,YES,YES,0 indoor parking spots and 8 outdoor parking spots,6.0,88.0,"DEC 12, 2012",SLIDE AND CLIMBING,,,CONTROL AND MODERNIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK OF BUILDING,REPLACED,2006.0,HOT WATER,NO,YES,YES,YES,YES,24,FIRST FLOOR,YES,0.0,0.0,2.0,14.0,NO,YES,Ground Level Garage,M1M,,YES,PARK PROPERTY MANAGEMENT INC,PRIVATE,RECYCLING ROOM FIRST-FLOOR,4152783.0,NO,YES,NO,3744  ST CLAIR AVE E,YES,YES,1964.0,NO,UNAVAILABLE,20,DOUBLE PANE,1964.0,2000.0,2017.0,,,,,,,,
62301,NONE,,YES,YES,YES,NO,NO,Not Available,3.0,12.0,,,,,,,YES,YES,Green Bin / Organics,YES,NO,IN THE FRONT OF THE BLDG,ORIGINAL,1998.0,HOT WATER,NO,YES,NO,YES,YES,24 HRS,IN BASEMENT,NO,0.0,0.0,0.0,2.0,NO,NO,Ground Level Garage,M3M,,NO,S & T  TWO INC,PRIVATE,IN THE FRONT OF THE BLDG,4154403.0,NO,YES,NO,2221  JANE ST ,NO,,,,UNAVAILABLE,6,DOUBLE PANE,1964.0,,2017.0,,,,,,,,
62302,NONE,"Indoor recreation room , Indoor exercise room , Child play area",YES,YES,YES,YES,NO,Not Available,14.0,251.0,"NOV 18, 2013",PLAYGROUND,A FEW CARDIO MACHINES,,INTERIOR AND CONTROLS,REPLACED,,NO,Green Bin / Organics,YES,YES,SIDE OF THE BUILDING,REPLACED,1997.0,HOT WATER,NO,YES,NO,NO,YES,24/7,BASEMENT,YES,0.0,0.0,3.0,25.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M4A,,YES,COGIR REAL ESTATE,PRIVATE,SIDE OF THE BUILDING,4154884.0,NO,YES,NO,1441  LAWRENCE AVE E,YES,YES,1971.0,YES,PAID,16,DOUBLE PANE,1961.0,2010.0,2017.0,,,,,,,,
62303,NONE,,YES,YES,YES,YES,YES,Not Available,12.0,204.0,"JAN 7, 2013",,,,,REPLACED,YES,NO,Recycling bins,YES,YES,,REPLACED,1990.0,HOT WATER,YES,YES,NO,YES,YES,9AM - 10 PM,BASEMENT,YES,204.0,99.0,3.0,28.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking",M1R,,NO,FALCONWIN PROPERTY MANAGEMENT,PRIVATE,DESIGNATED AREA,4154886.0,NO,YES,NO,1840  VICTORIA PARK AVE ,YES,YES,1964.0,NO,FREE,16,DOUBLE PANE,1964.0,2010.0,2017.0,,,,,,,,
62304,NONE,,YES,YES,YES,YES,NO,Not Available,4.0,69.0,"JAN 30, 2015",,,,,REPLACED,,NO,Green Bin / Organics,YES,NO,BACK OF BUILDING,ORIGINAL,1960.0,HOT WATER,NO,YES,NO,NO,YES,8AM - 9PM 7 DAYS WEEK,MAIN FLOOR,YES,9.0,56.0,1.0,8.0,NO,YES,Surface Parking,M4A,,NO,LINWOOD MANAGEMENT CORPORATION,PRIVATE,BACK OF BUILDING,4154887.0,NO,YES,NO,48  ECCLESTON DR ,NO,,,YES,FREE,16,DOUBLE PANE,1960.0,2016.0,2017.0,,,,,,,,
62305,NONE,"Outdoor pool , Indoor recreation room , Outdoor rec facilities , Indoor exercise room , Child play area , Sauna",YES,YES,YES,YES,YES,Not Available,13.0,111.0,"MAR 20, 2017",SWINGS/SLIDE,FREE WEIGHTS/CARDIO EQUIPMENT,"TENNIS COURT, GAZEBO, BBQ",COMPLETE MODERNIZATION,REPLACED,,NO,Green Bin / Organics,YES,YES,GARBAGE AREA,REPLACED,2013.0,HOT WATER,NO,YES,NO,NO,YES,8A-10P,BASEMENT,YES,0.0,2.0,2.0,12.0,NO,YES,"Underground Garage , Garage accessible thru buildg , Surface Parking , Parking Deck",M3A,25 POUNDS OR LESS,YES,QUADREAL PROPERTY GROUP,PRIVATE,BEHIND BUILDING,4154894.0,NO,YES,NO,8-10  ROANOKE RD ,YES,YES,1964.0,YES,FREE,16,DOUBLE PANE,1962.0,2005.0,2017.0,,,,,,,,
62306,NONE,,YES,NO,YES,YES,NO,50 indoor parking spots and 0 outdoor parking spots,4.0,83.0,"JAN 3, 2017",,,,,REPLACED,YES,NO,Green Bin / Organics,YES,YES,NORTHWEST CORNER OF PROPERTY,REPLACED,1985.0,HOT WATER,YES,YES,NO,YES,YES,24 HOURS,EVERY FLOOR,NO,0.0,1.0,2.0,16.0,NO,YES,"Underground Garage , Surface Parking",M3A,,YES,,PRIVATE,NORTHWEST CORNER OF PROPERTY,4154905.0,NO,NO,NO,270  CASSANDRA BLVD ,YES,YES,1969.0,YES,FREE,16,SINGLE PANE,1969.0,2016.0,2017.0,,,,,,,,
62307,NONE,Outdoor pool,YES,YES,YES,YES,YES,Not Available,7.0,81.0,"DEC 12, 2012",,,,CONTROL MOTORIZATION,REPLACED,YES,NO,Green Bin / Organics,YES,YES,BACK PARKING LOT,REPLACED,2011.0,HOT WATER,NO,YES,NO,YES,YES,9 AM TO 10 PM,FIRST FLOOR,YES,0.0,1.0,2.0,10.0,NO,NO,"Underground Garage , Ground Level Garage",M3A,,YES,PARK PROPERTY MANAGEMENT INC,PRIVATE,BACK PARKING LOT,4154911.0,NO,YES,NO,111  COMBERMERE DR ,YES,YES,1963.0,NO,FREE,16,DOUBLE PANE,1963.0,2002.0,2017.0,,,,,,,,
